,collocation,lemma,rel type,deprel type,count,word 1 count,word 2 count,lemma count,lemma 1 count,lemma 2 count,dice,log-likelihood,translation,tsne_1,tsne_2,origin,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,cluster_agglo
237,образ жизни,образ жизнь,noun-noun,obj-nmod,7,32,167,15.0,201.0,275.0,0.0630252100840336,110.17684994451702,Life,-21.839518,-9.431384,ru,,,,15.0
238,учетной записи,учетный запись,adj-noun,amod-nmod,3,5,29,6.0,16.0,60.0,0.1578947368421052,84.03848688863218,account,-0.8924013,4.1690927,ru,,,,90.0
239,московской области,московский область,adj-noun,amod-nmod,24,28,377,33.0,98.0,471.0,0.1159929701230228,316.5284743309021,Moscow region,38.889248,-49.421165,ru,,,,94.0
240,привлекательной цене,привлекательный цена,adj-noun,amod-obl,5,7,106,7.0,31.0,585.0,0.0227272727272727,57.17561427690089,attractive price,1.5310192,15.381632,ru,,,,118.0
241,законодательного собрания,законодательный собрание,adj-propn,amod-nmod,4,4,16,9.0,19.0,34.0,0.3396226415094339,143.4405737258494,Legislative Assembly,26.224337,-41.315155,ru,,,,59.0
242,ленинградской области,ленинградский область,propn-noun,amod-nmod,16,17,377,18.0,23.0,471.0,0.0728744939271255,216.198656257242,Leningrad region,39.11176,-56.853134,ru,,,,94.0
243,федеральной службы,федеральный служба,adj-noun,amod-nmod,4,15,54,6.0,85.0,114.0,0.0603015075376884,53.87355390563607,Federal Service,33.65367,-19.83428,ru,,,,21.0
244,воронежской области,воронежский область,propn-noun,amod-nmod,6,7,377,8.0,21.0,471.0,0.032520325203252,78.73712780326605,Voronezh region,41.676777,-53.026394,ru,,,,94.0
245,тюменской области,тюменский область,propn-noun,amod-nmod,9,9,377,10.0,20.0,471.0,0.0407331975560081,105.61027913913132,Tyumen region,42.690445,-49.870556,ru,,,,94.0
246,вооруженных сил,вооружить сила,verb-noun,amod-nmod,5,7,42,6.0,15.0,138.0,0.0784313725490196,74.6704657766968,Armed Forces,35.623535,-19.071949,ru,,,,21.0
247,владимир путин,владимир путин,propn-propn,appos-flat:name,15,75,32,21.0,100.0,61.0,0.2608695652173913,270.8170300703496,Vladimir Putin,48.442547,-30.709257,ru,,,,107.0
